video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,state,lat,lon,geometry
LgVi6y5QIjM,17.14.11,Sing zu Ende! | Gesangseinlagen vom Feinsten | inscope21,inscope21,24,2017-11-13T17:08:49.000Z,"inscope21|""sing zu ende""|""gesangseinlagen""|""gesang""|""gesungen""|""songs nachsingen""|""nachsingen""|""songs covern""|""carpool karaoke""|""witziger gesang""|""rap""|""rap cover""|""rap zu ende""|""raps nachstellen""|""nachrappen""|""nach rappen""",252786,35885,230,1539,https://i.ytimg.com/vi/LgVi6y5QIjM/default.jpg,False,False,False,"Heute gibt es mal wieder ein neues Format... wenn euch das Ganze gefällt lasst 1,5 Daumen nach oben da, dann bringen wir es nie wieder. Es wird gerappt gesungen und nichts gewusst, optimales Setup also. Kommentiert welche Songs ihr nächstes Mal dabei haben wollt.\n\n►Merch!: https://www.inscope21.com/\n\nzu den Jungs: \n\nSascha: https://www.youtube.com/user/unsympathischtv\nShpendi: https://www.youtube.com/channel/UCm32Mjdv3OhNrDT-RXExViA\nPeter: https://www.youtube.com/channel/UCvZxLLwvrXrRf1mENhqJKkw\n\n( Die mit * gekennzeichneten Links sind Partner oder Sponsoren von mir - sprich über diese Links werden Einnahmen generiert)",Schleswig Holstein,54.78374778,9.433315388,POINT (9.433315388 54.78374778)
Bayt7uQith4,17.14.11,Kinder ferngesteuert im Kiosk! Erwachsene abzocken - LUKE! Die Woche und ich | SAT.1,LUKE! Die Woche und ich,23,2017-11-12T22:30:01.000Z,"Kinder|""ferngesteuert""|""Kinder ferngesteuert""|""luke mockridge kinder""|""luke die woche und ich kinder""|""Prank""|""verarschen""|""Kiosk""|""Funkgerät""|""Falschgeld""|""Verkäufer""|""Luke Mockridge""|""Luke Die Woche und ich""|""versteckte Kamera""|""Show""|""Sat.1""|""LDWUI""|""Comedy""|""Kioskverkäufer""|""kinder prank""|""luke robin""|""Erwachsene abzocken""|""kunden verarschen""|""kunden prank""|""kasse prank""|""versteckte Kamera luke""|""luke kinder""",797196,53576,302,1278,https://i.ytimg.com/vi/Bayt7uQith4/default.jpg,False,False,False,"Kinder ferngesteuert! Kinder lassen sich sooo leicht beeinflussen. So wie Robin, der sich von Luke als Kioskverkäufer steuern lässt. Die Kundern sind leicht irritiert.  \n\n►Abonniert den Kanal und verpasst kein „LUKE – Die Woche und ich“-Video!\nhttps://www.youtube.com/channel/UCC2I-hHgLHQ4dTAaOhErRRQ?sub_confirmation=1\n\n► „LUKE – Die Woche und ich“ auf Facebook:\nhttps://www.facebook.com/lukeswoche/\n\n► Die „LUKE – Die Woche und ich“-Webseite\nhttps://www.sat1.de/tv/luke-die-woche-und-ich\n\nEr ist charmant, frech und vor allem eins: unglaublich witzig. Luke Mockridge mischt mit seiner eigenen Show „LUKE! Die Woche und ich“ die deutsche Comedy-Szene ordentlich auf.\n\nImpressum:\nhttp://www.myspass.de/impressum/",Nordrhein Westfalen,52.02998822,8.530011351,POINT (8.530011351000001 52.02998822)
1ZAPwfrtAFY,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,2017-11-13T07:30:00.000Z,"last week tonight trump presidency|""last week tonight donald trump""|""john oliver trump""|""donald trump""",2418783,97190,6146,12703,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg,False,False,False,"One year after the presidential election, John Oliver discusses what we've learned so far and enlists our catheter cowboy to teach Donald Trump what he hasn't.\n\nConnect with Last Week Tonight online...\n\nSubscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight\n\nFind Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight\n\nFollow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight\n\nVisit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight",Saarland,49.25039044,6.970003213,POINT (6.970003213 49.25039044)
AHtypnRk7JE,17.14.11,Das Fermi-Paradoxon,100SekundenPhysik,27,2017-11-12T15:00:01.000Z,"Physik|""Wissenschaft""|""Technik""|""Science-Fiction""|""Außerirdische""|""Alien""|""Aliens""|""Fermi""|""Fermi-Paradoxon""",380247,31821,458,1955,https://i.ytimg.com/vi/AHtypnRk7JE/default.jpg,False,False,False,"►Alle Videos: http://bit.ly/1fa7Tw3\n\n\n✚Snapchat: SekundenPhysik\n✚Facebook: http://on.fb.me/YJFlNt\n✚Twitter: http://bit.ly/Zqqnv4\n✚Abonnieren: http://bit.ly/10jgdi2\n\n100SekundenPhysik: das ist Wissenschaft in einfacher, knapper und unterhaltsamer Form.",Bayern,50.26660748,10.96660681,POINT (10.96660681 50.26660748)
ZJ9We4bjcg0,17.14.11,18 SONGS mit Kelly MissesVlog (Sing-off),rezo,24,2017-11-12T13:10:36.000Z,"kelly|""missesvlog""|""kelly song""|""bausa""|""bausa was du liebe nennst""",822213,100684,2467,10244,https://i.ytimg.com/vi/ZJ9We4bjcg0/default.jpg,False,False,False,18 Song Mashup über den (veränderten) Beat von Bausa - Was Du Liebe Nennst mit der lieben Kelly aka MissesVlog.\nKellys Video: https://youtu.be/1ZMZTC67F6k\nMEIN SHOP: http://www.rezo-shop.de\n\n► FOLGT MIR\nInstagram: http://instagram.com/rezomusik\nTwitter: https://twitter.com/rezomusik\nFacebook: https://www.facebook.com/rezomusik/\nSnapchat: rezomusik,Berlin,52.52181866,13.40154862,POINT (13.40154862 52.52181866)
xapGFgWqtg4,17.14.11,Geld verdienen mit Online-Umfragen? Geht das wirklich? 😱,Die Allestester,22,2017-11-13T01:49:24.000Z,[none],32709,3093,296,63,https://i.ytimg.com/vi/xapGFgWqtg4/default.jpg,False,False,False,"Wir haben Meinungsstudie.de (► http://bit.ly/2wiA2wv ◄) getestet und wir haben einen 20€ Amazon Gutschein ausgezahlt bekommen. FAZIT: Geld verdienen durch Umfragen ausfüllen FUNKTIONIERT ► Unser Tipp: Bei mehreren Seiten anmelden und überall Umfragen ausfüllen, dann kann man direkt den Verdienst deutlich erhöhen.\n\n♦Meinungsstudie (Gutschein kam): http://bit.ly/2wiA2wv\n♦GfK Institut (funktioniert): http://bit.ly/2z0IOQJ\n♦Nicequest (auch super): http://bit.ly/2g7OogG\n♦MySurvey (funktioniert): http://bit.ly/2xtLTvN\n♦Trendfrage (funktioniert): http://bit.ly/2yEkipq\n♦YouGov (funktioniert): http://bit.ly/2yVdD9z\n▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬",Hessen,51.30000694,9.500029662,POINT (9.500029661999999 51.30000694)
EIM7RMe39JY,17.14.11,Kanaken auf der Klassenfahrt,Bodyformus,23,2017-11-13T11:59:04.000Z,"kanaken|""kurden""|""türken""|""schule""|""schulzeit""|""hauptschule""|""realschule""|""kinder""|""bodyformus""|""prototyp""|""barry hammerschmidt""|""barry""|""noten""|""leherer""|""rap""|""musik""|""hip hop""",308683,35704,578,1398,https://i.ytimg.com/vi/EIM7RMe39JY/default.jpg,False,False,False,Video mit Planet Kanax: https://youtu.be/3U51cVIqulM\n\nVideo mit Nelson: https://youtu.be/yszbBUrSVag\n\nhttps://www.Instagram.com/bodyformus_\n\nwww.facebook.com/Bodyformus,Rheinland Pfalz,49.98247246,8.273219156,POINT (8.273219156 49.98247246)
PaWTaj6Iie0,17.14.11,3 unbekannte Gesichter von Film/Serien-Charakteren (die wir enthüllen!),Jay & Arya,22,2017-11-13T18:09:55.000Z,"unbekannte gesichte charakter|""unbekannte gesichter animierte charakter""|""unbekannte gesichter film serien charakter""|""wir enthüllen unbekannte gesichter""|""howard wolowitz mom""|""mrs wolowitz gesicht""|""blair witch project hexe gesicht""|""how i met your mother kürbisschlampe""|""kürbisschlampe gesicht""|""kürbis schlampe gesicht""|""jay und arya""|""jay und arya film geek""|""film geek""",181660,17998,169,554,https://i.ytimg.com/vi/PaWTaj6Iie0/default.jpg,False,False,False,4 unbekannte Gesichter animierter Charaktere (die wir enthüllen!) ► https://www.youtube.com/watch?v=Rtt1OK94PeU \n\nUnser neuster Kurzfilm MR_ROBOT.exe - Teil 1 ► https://www.youtube.com/watch?v=X-mf77RwM6g\n\n_______________\nFacebook ► https://www.facebook.com/JayAndArya\n_______________\n\nArya Lee\nSnapchat - AryaLeee\nInstagram - http://instagram.com/arya__lee (@arya__lee)\nTwitter - https://twitter.com/Arya__Lee (@arya__lee)\n\nJay Samuelz\nSnapchat - jay.samuelz\nInstagram - http://instagram.com/jaysamuelz (@JaySamuelz)\nTwitter - https://twitter.com/JaySamuelz (@JaySamuelz)\n\n______________\n\nMusik :\nVincent Lee,Nordrhein Westfalen,52.02998822,8.530011351,POINT (8.530011351000001 52.02998822)
GHct2dGNLks,17.14.11,Antoine leiht Auto von Ernährungsberaterin,TeddyComedy,23,2017-11-12T11:53:45.000Z,"Antoine Auto|""Antoine Boot Camp""|""Antoine Ernährungsberaterin""|""Ernährungsberaterin""|""Antoine leiht Auto""|""antoine wellensittich""|""Umfrage zum Integrationstest""|""Best of Antoine""|""3 Stufen""|""smalltalk""|""teddycomedy""|""antoine""|""flieg klein wellensittich""|""integrationstest""|""angelo mert""|""domian""|""teddy""|""wellensittich""|""menschlich gesehen ziemlich abstossend""|""zamanta""|""boot camp""|""was labersch du""|""sido""|""30 11 80""",369173,16953,570,611,https://i.ytimg.com/vi/GHct2dGNLks/default.jpg,False,False,False,Antoine hat sich ein Auto ausgeliehen..schaut mal was passiert.\n\nViel Spass :)\n\nAbonniere den Kanal um kein Video zu verpassen.\n\nTickets für die neue Teddy Show:\nhttp://bit.ly/2zpV8LY\n\nWebseite:\nhttp://teddy-show.de/\n\nWas labersch Du....\nFan-Shop:\nhttp://www.teddy-sein-laden.de/\n\nTeddyShow Live-DVD bei Amazon:\nhttp://amzn.to/1Z6evAJ\n\nFacebook:\nhttps://www.facebook.com/Teddy.Comedy\n\nMusic by:\nhttps://soundcloud.com/blinisnow,Thuringen,50.97005292,11.02996212,POINT (11.02996212 50.97005292)
aZYSFByDGkg,17.14.11,Legenden: So wird dein Ruhm unsterblich - Fame Academy | WALULIS,WALULIS,1,2017-11-13T15:06:12.000Z,"michael jackson|""promi""|""tot""|""tod""|""gestorben""|""promiflash""|""ruhm""|""prominenz""|""celebrities""|""david bowie""|""warum sterben soviele promis""|""legenden""|""2016""|""unsterblich""|""fame academy""|""walulis""",62418,4749,44,425,https://i.ytimg.com/vi/aZYSFByDGkg/default.jpg,False,False,False,"Berühmt werden kann jeder, aber berühmt bleiben ist schwierig. Was unterscheidet Promi-Legenden von den Stars, die nach kurzer Zeit wieder in der Versenkung verschwinden? Wir zeigen dir, wie man seinen Platz im Promi Olymp verteidigt!\n\n→ Wir sind Teil von funk! Mehr davon gibt's unter:\n►YouTube: https://youtube.com/funkofficial\n►funk Web-App: https://go.funk.net\n►Facebook: https://facebook.com/funk\n►Impressum: https://go.funk.net/impressum\n\n→ Mehr von WALULIS:\n►Jetzt diesen Kanal abonnieren: http://walul.is/2meZD40\n►Newsletter mit intimen Details aus der Redaktion abonnieren: http://walul.is/2j0zogu\n►WALULIS bei Facebook: http://walul.is/2lez2Xu\n►WALULIS' Rechtschreibfehler auf Twitter korrigieren: http://walul.is/2vsqDFh \n►Bunte Bilder aus der Redaktion auf Insta: http://walul.is/2qTVHMW",Thuringen,50.97005292,11.02996212,POINT (11.02996212 50.97005292)
